"ISO","SPID","adm1_name","vac","pop"
"COG","COG_1","Bouenza",0.309991948378203,394152.21377015
"COG","COG_10","Sangha",0.309991948378203,104670.113995762
"COG","COG_2","Cuvette-Ouest",0.833354838557499,80384.0534687626
"COG","COG_3","Cuvette",0.309991948378203,212254.514722265
"COG","COG_4","Kouilou",0.309991948378203,1032188.47842853
"COG","COG_5","Lekoumou",0.309991948378203,123743.69505721
"COG","COG_6","Likouala",0.309991948378203,196466.092764107
"COG","COG_7","Niari",0.309991948378203,286840.394104346
"COG","COG_8","Plateaux",0.309991948378203,226175.401755265
"COG","COG_9","Pool",0.309991948378203,2072539.18899063
"ERI","ERI_1","Anseba",0,1055782.95048624
"ERI","ERI_2","Debub",0,938888.673787965
"ERI","ERI_3","Debubawi Keyih Bahri",0,118338.61791437
"ERI","ERI_4","Gash Barka",0,1060520.66059483
"ERI","ERI_5","Maekel",0,1380956.1409667
"ERI","ERI_6","Semenawi Keyih Bahri",0,780988.991192691
"ETH","ETH_1","Addis Ababa",0,4120032.24497283
"ETH","ETH_10","Southern Nations, Nationalities and Peoples",0.0293331408829263,19618031.1946989
"ETH","ETH_11","Tigray",0,5929429.55760079
"ETH","ETH_2","Afar",0,1990894.72662412
"ETH","ETH_3","Amhara",0,26301978.7537726
"ETH","ETH_4","Benshangul-Gumaz",0,988366.855750741
"ETH","ETH_5","Dire Dawa",0,479947.149794191
"ETH","ETH_6","Gambela Peoples",0,334131.746548579
"ETH","ETH_7","Harari People",0,252567.752064626
"ETH","ETH_8","Oromia",0,35666130.7926108
"ETH","ETH_9","Somali",0,6125481.66988734
"GAB","GAB_1","Estuaire",0.67718314179265,753529.925023571
"GAB","GAB_2","Haut-Ogooue",0.67718314179265,186020.979929239
"GAB","GAB_3","Moyen-Ogooue",0.67718314179265,76694.8642671186
"GAB","GAB_4","Ngounie",0.67718314179265,142450.906139128
"GAB","GAB_5","Nyanga",0.67718314179265,75519.2430830148
"GAB","GAB_6","Ogooue-Ivindo",0.67718314179265,89903.9664394546
"GAB","GAB_7","Ogooue-Lolo",0.67718314179265,78574.7490850959
"GAB","GAB_8","Ogooue-Maritime",0.67718314179265,179602.753709985
"GAB","GAB_9","Wouleu-Ntem",0.67718314179265,179133.614312933
"GHA","GHA_1","Ashanti",0.704126721519852,5498926.87344529
"GHA","GHA_10","Western",0.827974547554645,2700369.17002197
"GHA","GHA_2","Brong Ahafo",0.696131069447919,2603331.18570109
"GHA","GHA_3","Central",0.553382925981055,2522596.81928704
"GHA","GHA_4","Eastern",0.543176637969048,2914286.39565435
"GHA","GHA_5","Greater Accra",0.737843225110891,4539789.1029927
"GHA","GHA_6","Northern",0.635678110290811,2814270.26347708
"GHA","GHA_7","Upper East",0.425253013968768,1189902.86615855
"GHA","GHA_8","Upper West",0.951694897306781,787844.197510536
"GHA","GHA_9","Volta",0.508644593938151,2375029.3753018
"GIN","GIN_1","Boke",0.830712094342432,1318768.62232372
"GIN","GIN_2","Conarky",0.88757367704577,1986731.9481059
"GIN","GIN_3","Faranah",0.601100462070208,1154717.2232504
"GIN","GIN_4","Kankan",0.871600529014737,2419666.56257994
"GIN","GIN_5","Kindia",0.779364887767413,1898936.81871057
"GIN","GIN_6","Labe",0.886446831221957,1220776.20284698
"GIN","GIN_7","Mamou",0.886419413943299,902385.325547442
"GIN","GIN_8","Nzerekore",0.527362513749559,2042281.77654762
"GMB","GMB_1","Banjul",0.787046317970687,435960.346028711
"GMB","GMB_2","Lower River",0.787046317970687,94391.0356814617
"GMB","GMB_3","Maccarthy Island",0.787046317970687,252766.793256731
"GMB","GMB_4","North Bank",0.787046317970687,231111.418082054
"GMB","GMB_5","Upper River",0.787046317970687,275526.11315018
"GMB","GMB_6","Western",0.787046317970687,771208.04109738
"GNB","GNB_1","Bafata",0.171753084408635,287032.833357072
"GNB","GNB_2","Biombo",0.171753084408635,120916.476179292
"GNB","GNB_3","Bissau",0.171753084408635,424909.808113393
"GNB","GNB_4","Bolama",0.171753084408635,40895.9114051725
"GNB","GNB_5","Cacheu",0.171753084408635,245199.748387759
"GNB","GNB_6","Gabu",0.171753084408635,268545.913337449
"GNB","GNB_7","Oio",0.171753084408635,287487.36253568
"GNB","GNB_8","Quinara",0.171753084408634,78160.2752493014
"GNB","GNB_9","Tombali",0.171753084408635,129941.457601964
"GNQ","GNQ_2","Bioko Norte",0,160517.063546636
"GNQ","GNQ_3","Bioko Sur",0,20702.257897982
"GNQ","GNQ_4","Centro Sur",0,136768.481527476
"GNQ","GNQ_5","Kie-Ntem",0,210743.173167987
"GNQ","GNQ_6","Litoral",0,202899.207209104
"GNQ","GNQ_7","Wele-Nzas",0,141568.672590387
"KEN","KEN_1","Central",0.0176963659098679,5349935.93540489
"KEN","KEN_2","Coast",0.0176963659098679,3978967.21042302
"KEN","KEN_3","Eastern",0.0176963659098679,6950953.86764482
"KEN","KEN_4","Nairobi",0.0176963659098679,3991835.29817969
"KEN","KEN_5","North-Eastern",0.0176963659098679,2746262.9904355
"KEN","KEN_6","Nyanza",0.0176963659098679,6642892.14179317
"KEN","KEN_7","Rift Valley",0.0543750905830843,12177310.0074377
"KEN","KEN_8","Western",0.0176963659098679,5342094.11513916
"LBR","LBR_1","Bomi",0.886428017959202,152430.806691467
"LBR","LBR_10","Maryland",0.915779354186336,180612.829315739
"LBR","LBR_11","Montserrado",0.891888136462557,1285183.10215164
"LBR","LBR_12","Nimba",0.85713027291197,670759.035018547
"LBR","LBR_13","River Cess",0.687677281002318,86416.7115653444
"LBR","LBR_14","River Gee",0.892868698737621,110384.939654248
"LBR","LBR_15","Sinoe",0.886428017959202,132402.561302109
"LBR","LBR_2","Bong",0.90142055929716,429918.505832845
"LBR","LBR_3","Gbapolu",0.886428017959201,109376.924400243
"LBR","LBR_4","Grand Cape Mount",0.911977555423283,172472.379205577
"LBR","LBR_5","GrandBassa",0.744043145870696,285871.672167472
"LBR","LBR_6","GrandGedeh",0.734033223624065,163602.571904416
"LBR","LBR_7","GrandKru",0.886428017959202,78834.7891379897
