"ISO","SPID","vac"
"NGA","NGA_26",0.0631580462161859
"NGA","NGA_27",0.518283868261914
"NGA","NGA_28",0.358032241119824
"NGA","NGA_29",0.358032241119824
"NGA","NGA_3",0.0577408303447707
"NGA","NGA_30",0.0577408303447708
"NGA","NGA_31",0.358032241119824
"NGA","NGA_32",0.312806244588855
"NGA","NGA_33",0.0577408303447708
"NGA","NGA_34",0.358032241119824
"NGA","NGA_35",0.0744439819749253
"NGA","NGA_36",0.0577408303447707
"NGA","NGA_37",0.0631580462161859
"NGA","NGA_38",0.0577408303447707
"NGA","NGA_4",0.310283042978268
"NGA","NGA_5",0.394544611653829
"NGA","NGA_6",0.0577408303447708
"NGA","NGA_7",0.55589764066061
"NGA","NGA_8",0.312806244588855
"NGA","NGA_9",0.425415781968451
"RWA","RWA_1",0
"RWA","RWA_10",0
"RWA","RWA_2",0
"RWA","RWA_3",0
"RWA","RWA_4",0
"RWA","RWA_5",0
"RWA","RWA_6",0
"RWA","RWA_7",0
"RWA","RWA_8",0
"RWA","RWA_9",0
"SDN","SDN_1",0
"SDN","SDN_2",0
"SDN","SDN_3",0
"SDN","SDN_4",0
"SDN","SDN_5",0.182430300480633
"SDN","SDN_6",0
"SEN","SEN_1",0.558964568078342
"SEN","SEN_10",0.945924413994127
"SEN","SEN_11",0.331591070188498
"SEN","SEN_2",0.945924413994127
"SEN","SEN_3",0.746442332386245
"SEN","SEN_4",0.473417447801522
"SEN","SEN_5",0.331591070188498
"SEN","SEN_6",0.520388663453994
"SEN","SEN_7",0.331591070188498
"SEN","SEN_8",0.331591070188498
"SEN","SEN_9",0.721042935492339
"SLE","SLE_1",0.110705830972565
"SLE","SLE_2",0.272822218461638
"SLE","SLE_3",0.256417331018385
"SLE","SLE_4",0.110705830972565
"SOM","SOM_1",0
"SOM","SOM_10",0
"SOM","SOM_11",0
"SOM","SOM_12",0
"SOM","SOM_13",0
"SOM","SOM_14",0
"SOM","SOM_15",0
"SOM","SOM_16",0
"SOM","SOM_17",0
"SOM","SOM_18",0
"SOM","SOM_2",0
"SOM","SOM_3",0
"SOM","SOM_4",0
"SOM","SOM_5",0
"SOM","SOM_6",0
"SOM","SOM_7",0
"SOM","SOM_8",0
"SOM","SOM_9",0
"SSD","SSD_1",0
"SSD","SSD_2",0.067842249817942
"SSD","SSD_3",0
"TCD","TCD_1",0.203959050218383
"TCD","TCD_10",0.203959050218383
"TCD","TCD_11",0.203959050218383
"TCD","TCD_12",0.203959050218383
